Hotel name,Current score,Review
소노캄 거제," ""5"""," ""First class resort. One of the best hotels I've stayed in for quite a while. The staff spoke good English the room was excellent spacious and had great views of the bay. I'd highly recommend the resort to anyone visiting Geoje"""
소노캄 거제," ""4"""," ""very new building. wonderful ocean view. almost hotel cost. for example 30000 menu in restaurant 5000 coffee in cafe 50000 buffet. room for suite is 0.18 million won. rent a yacht 0.6 million."""
소노캄 거제," ""4"""," ""nice view clean water wide parkjng lotService4.0Location4.0Rooms4.0"""
소노캄 거제," ""5"""," ""comfortable and beautiful. my kids were happy. wanna visit again. i love here"""
소노캄 거제," ""5"""," ""Very nice hotel great amenities. Love the aesthetic and views from the hotel. Great scenery and water views. Rooms are very nice ours had a kitchenette."""
소노캄 거제," ""5"""," ""Beautiful place"""
소노캄 거제," ""5"""," ""Fantastic resort highly recommended. Was there for a sail away party and the venue was great. Would love to return as a guest in the hotel. Water park also looks great."""
소노캄 거제," ""3"""," ""Could've been a nice resort. I'd have to say they failed to keep their service quality for their product. Terrible mattress - think it's 20 yo at least and never been flipped."""
소노캄 거제," ""5"""," ""Beautiful resort! Room was very well cleaned. Staff was very kind. We definitely recommend."""
소노캄 거제," ""2"""," ""Poor implements particularly in kitchen and bathroom"""
소노캄 거제," ""5"""," ""Beautiful Sea view Wonderful Yacht tour Delicious sea food Everything perfect for summer holidays."""
소노캄 거제," ""4"""," ""Fantastic view from the room.  If you get a room with 'mountain view' the view you get from your window is simply amazing!  Well build and very clean place."""
소노캄 거제," ""5"""," ""It's right by the waters and they have a really pretty boardwalk though there's nothing to do on the boardwalk except walk (no shops/food). The food is a bit pricey and the drinks are what you might expect them to cost."""
소노캄 거제," ""5"""," ""Beautiful scenery luxury condominium amenity...it's fabulous!"""
소노캄 거제," ""5"""," ""It was a great time here. The rooms were very clean and staff very helpful."""
소노캄 거제," ""5"""," ""Great facilities. It would be a great choice if you visit with family including children."""
소노캄 거제," ""4"""," ""This is the best resort in Geoje in terms of size and quality as well. Therefore it is a bit difficult to book for weekend and summer times. The price is also high. However considering all aspects this would be good choice if you are not familiar with Geoje. Especially water park is good for children."""
소노캄 거제," ""5"""," ""Great!"""
소노캄 거제," ""3"""," ""If you're into korean resorts this is the place for you. Lots of fake rocks plastic grass imported palm trees etc. On the plus side the view is stunning. Everything seems to be expensive..the supermarket waterpark buffet and the actual room. Be prepared to spend a bit of money."""
소노캄 거제," ""3"""," ""Too expensive normal service food is not an outstanding"""
소노캄 거제," ""5"""," ""Nice rooms easy access to nearby touristy experiences lot of facilities of food and entertainment."""
소노캄 거제," ""5"""," ""Amazingly beautiful! If you're here in South korea you must visit this place. 😊"""
소노캄 거제," ""5"""," ""Good place for vacation or events or conference. Beautiful view and convenient."""
소노캄 거제," ""5"""," ""Nice place to hangout bit pricey though"""
소노캄 거제," ""5"""," ""Wery nice.   Beautiful nature"""
소노캄 거제," ""4"""," ""Stay during a rainy few days so didn't get to experience the pool and water part was a nice resort. No gym tho so lost a star with me."""
소노캄 거제," ""4"""," ""Nice night see  view"""
소노캄 거제," ""5"""," ""Excellent view and ambience..live music..good food"""
소노캄 거제," ""4"""," ""One of the  best Daemyung resort my opinion"""
소노캄 거제," ""4"""," ""A nice seaside location to stay eat and fun with family."""
소노캄 거제," ""5"""," ""Good"""
소노캄 거제," ""4"""," ""A little sth than SolBeach"""
소노캄 거제," ""5"""," ""Nice especially on cold winter days."""
소노캄 거제," ""4"""," ""Nice place to take a rest"""
소노캄 거제," ""5"""," ""What a wonderful scene in the morning."""
소노캄 거제," ""5"""," ""Good 👍"""
소노캄 거제," ""5"""," ""Resort with a good view of the sea~"""
소노캄 거제," ""5"""," ""Clean friendly and beautiful view"""
소노캄 거제," ""4"""," ""Nice pool good in summer"""
소노캄 거제," ""5"""," ""Good view fresh air...!"""
소노캄 거제," ""4"""," ""singers song good in lobby"""
소노캄 거제," ""5"""," ""Good!   Very Good!"""
소노캄 거제," ""4"""," ""New building !! What a excellent view!!"""
소노캄 거제," ""4"""," ""Good~^^"""
소노캄 거제," ""4"""," ""Nice place"""
소노캄 거제," ""4"""," ""I like the scenery."""
소노캄 거제," ""4"""," ""30% discount until the end of March"""
소노캄 거제," ""3"""," ""Room rate Over charge"""
소노캄 거제," ""5"""," ""Awesome! Amazing!"""
소노캄 거제," ""4"""," ""All rooms are facing ocean."""
소노캄 거제," ""5"""," ""Nice view"""
소노캄 거제," ""5"""," ""Good"""
소노캄 거제," ""5"""," ""good"""
소노캄 거제," ""5"""," ""Very  good"""
소노캄 거제," ""4"""," ""No good at all."""
소노캄 거제," ""5"""," ""Good~~*"""
소노캄 거제," ""5"""," ""Very good buffet"""
소노캄 거제," ""3"""," ""Nice area."""
소노캄 거제," ""4"""," ""Excellent getaway"""
소노캄 거제," ""5"""," ""Awesome place to hangout"""
소노캄 거제," ""5"""," ""Fantastic place"""
소노캄 거제," ""5"""," ""Nice"""
소노캄 거제," ""1"""," ""Not good"""
소노캄 거제," ""4"""," ""Very spacious"""
소노캄 거제," ""5"""," ""Wow!!!!"""
소노캄 거제," ""5"""," ""Awesome!"""
소노캄 거제," ""5"""," ""Excellent"""
소노캄 거제," ""5"""," ""Good"""
소노캄 거제," ""5"""," ""(Translated by Google) Coronaro restaurant takeout is also possible and an outdoor private barbecue is also good. The Monterosso restaurant meal is also very good.  …Read more(Translated by Google) Coronaro restaurant takeout is also possible and an outdoor private barbecue is also good. The Monterosso restaurant meal is also very good.(Original)코로나로 레스토랑 테이크아웃도 가능하고 야외 개별 바베큐장도 좋아요. 몬테로소레스토랑 식사도 매우 맛있어요"""
소노캄 거제," ""5"""," ""(Translated by Google) I really like the ocean view room.We were given the 21st floor and the scenery is very nice.It was a living room 2 bedrooms and 2 bathrooms but it's not as spacious as I  …Read more(Translated by Google) I really like the ocean view room.We were given the 21st floor and the scenery is very nice.It was a living room 2 bedrooms and 2 bathrooms but it's not as spacious as I thought.The facilities are neat.There are Baskin Robbins and Starbucks on the first floor so you can enjoy ice cream for children and coffee for adults.The underground convenience store is also quite large and parking was convenient.I ate at an Italian restaurant for dinner and the taste was good.There is an unlimited wine for 20000 won per person (based on guests).This was very satisfying.I especially liked that the staff kindly explained the wine.I signed up for a tour on a yacht for an hour.It was a different experience than other cruise ships.I really liked the accommodation on this trip!(Original)오션뷰의 객실이 아주 맘에 듭니다.우리는 21층을 받았는데 풍경이 아주 멋집니다.거실 방2 화장실2 이었는데 생각보다 넓진 않지만시설은 깔끔합니다.1층 로비 베스킨라빈스와 스타벅스가 있어 편하게 아이들 아이스크림과 어른들 커피 즐길 수 있어요.지하 편의점도 꽤 크고 주차도 편했습니다.저녁에 이탈리아 식당에서 먹었는데 맛도 괜찮고와인 인당 2만원(투숙객기준)에 무제한이 있는데이게 아주 만족스러웠어요.특히 직원분들이 친절하게 와인설명도 해 줘서 좋았습니다.요트 1시간 타고 투어도 신청해서 했는데다른 유람선 타는거보다는 색다른 경험이었습니다.이번 여행에서 숙소는 아주 맘에 들었어요!"""
소노캄 거제," ""5"""," ""(Translated by Google) It is a place with a high level of satisfaction for the price. It is perfect for playing with children and the staff are friendly😊 The facility is slightly outdated but overall it seems to be well maintained. The  …Read more(Translated by Google) It is a place with a high level of satisfaction for the price. It is perfect for playing with children and the staff are friendly😊 The facility is slightly outdated but overall it seems to be well maintained. The swimming pool was also very clean and I believe in seeing them cleaning in the morning 👍 The Italian restaurant inside and breakfast were also good. It was my second visit and I will go again next time 😄(Original)가격 대비 만족도 높은 곳이예요~ 아이 데리고 놀기 딱 좋고 직원들도 친절해요😊 시설의 노후화는 살짝 있지만 전반적으로 관리를 잘 하는듯해요. 수영장도 아주 깨끗했고 아침에 청소하는 모습도 봐서 믿음이가요👍내부의 이탈리안 레스토랑과 조식도 괜찮았습니다. 두번째 방문이었는데 다음에 또 가려구요😄"""
소노캄 거제," ""4"""," ""(Translated by Google) All rooms are ocean view.The beach promenade is also good.If you want a higher floor you have to come early to check in.  …Read more(Translated by Google) All rooms are ocean view.The beach promenade is also good.If you want a higher floor you have to come early to check in.As it is a resort there is only shampoo and body wash so you need to bring all toiletries.Don't smoke in the room you idiots.(Original)방이 전부 오션뷰라 좋음.해변 산책로도 좋음.높은 층을 원한다면 일찍와서 체크인 해야함.리조트라 샴푸 바디워시 정도만 있으니 세면도구 일체 준비해와야함.객실에서 담배 피지마라 똘개이들아"""
소노캄 거제," ""5"""," ""(Translated by Google) I accidentally got a ticket for 3 days 2 nights and went there and I was very satisfied. I used Ocean Adventure and the view is fantastic so I want to go again. And when my girlfriend I like checked out I checked  …Read more(Translated by Google) I accidentally got a ticket for 3 days 2 nights and went there and I was very satisfied. I used Ocean Adventure and the view is fantastic so I want to go again. And when my girlfriend I like checked out I checked in and I hope that someday this relationship will continue.(Original)우연치않게 2박3일 권을 얻어서 다녀왔는데 대 만족이었습니다. 오션 어드벤처 이용했고 뷰가 환상적이어서 또가고 싶네요. 그리고 좋아하는 여자후배가 체크아웃할 때 전 체크인을 했는데 언젠가 이 인연이 이어졌음 좋겠어요."""
소노캄 거제," ""5"""," ""(Translated by Google) The scenery is nice and there is a Starbucks inside the resort. Baskin Robbins Chicken Yacht Experience. The sea fishing experience was very good  …Read more(Translated by Google) The scenery is nice and there is a Starbucks inside the resort. Baskin Robbins Chicken Yacht Experience. The sea fishing experience was very good(Original)풍경도 좋고 리조트내에 스타벅스. 베스킨라빈스 치킨 요트체험. 바다낚시체험 너무좋은것 갔습니다"""
소노캄 거제," ""5"""," ""(Translated by Google) I used the resort and water park and I also went to a sushi restaurant in the nearby Jangseungpo Port.It was a bit expensive because it was high season but the facilities were  …Read more(Translated by Google) I used the resort and water park and I also went to a sushi restaurant in the nearby Jangseungpo Port.It was a bit expensive because it was high season but the facilities were satisfactory enough for a healing trip.The trails are well maintained and in good condition for their age.(Original)리조트와 워터파크 이용했고 주변의 장승포항에서 횟집도 다녀왔습니다.성수기라 다소 비쌌지만 힐링여행으로 시설이 충분히 만족스러웠습니다.산책로도 잘 되어있고 연식대비 관리상태도 좋습니다."""
소노캄 거제," ""4"""," ""(Translated by Google) I didn't know I would experience the noise between floors.There was also a sense of waking everyone up early due to construction on the  …Read more(Translated by Google) I didn't know I would experience the noise between floors.There was also a sense of waking everyone up early due to construction on the site from 7 in the morning.The expensive buffet was not wasted at all because it was prepared with the finest ingredients. The unfortunate thing is that I should have emptied my stomach and went but the food I couldn't finish fluttered in front of my eyes.(Original)층간소음을 겪을줄 몰랐습니다.아침 일곱시 부터 부지내 공사로 모두들 일찍 깨워주는 센스도 있었구요.비싼 부페는 고급 재료에 최고의 조리라 전혀 아깝지 않았네요. 억울한 것은 위를 깨끗히 비우고 갔어야 했는데 못다먹은 음식들이 눈 앞에 아른거립니다."""
소노캄 거제," ""1"""," ""(Translated by Google) I went for a swim but the indoor swimming pool was closed.The amenities don't seem to be well maintained.  …Read more(Translated by Google) I went for a swim but the indoor swimming pool was closed.The amenities don't seem to be well maintained.The kids went to the arcade but there was nothing to do.Let's take care(Original)수영하러갔는데 실내수영장 폐쇄라 황당했습니다.편의 시설도 관리가 안되는듯합니다애들이 보채서 오락실쪽 갔는데도 딱히 할것이 없습니다.관리좀합시다"""
소노캄 거제," ""5"""," ""(Translated by Google) Watching the sunset on a yacht that I experienced for the first timeA glass of wine on board makes unforgettable memories  …Read more(Translated by Google) Watching the sunset on a yacht that I experienced for the first timeA glass of wine on board makes unforgettable memories(Original)처음체험해본 요트타고 노을감상선상에서 와인한잔도 잊지못할추억만들고 갑니다"""
소노캄 거제," ""5"""," ""(Translated by Google) Swimming pool is good. Liverpool and slides were available with little wait. Hats and life jackets are mandatory and can be rented. Water quality is also good. The view is very nice and the location is great.  …Read more(Translated by Google) Swimming pool is good. Liverpool and slides were available with little wait. Hats and life jackets are mandatory and can be rented. Water quality is also good. The view is very nice and the location is great.(Original)수영장이 좋습니다.리버풀 및 슬라이드들을 거의 기다리지 않고 이용할 수 있었습니다. 모자와 구명조끼는 필수이고 대여도 가능합니다. 수질도 좋습니다. 뷰도 매우 좋고 위치도 훌륭합니다."""
소노캄 거제," ""4"""," ""(Translated by Google) Comprehensively (Daemyung) is a place that does the basics anywhere in the country.The room has some signs of time but it is well maintained.  …Read more(Translated by Google) Comprehensively (Daemyung) is a place that does the basics anywhere in the country.The room has some signs of time but it is well maintained.Dinner buffet (Sono Calm Sono Moon Sono Bell etc.) is the best value for moneySatisfaction is much higher than when visiting Busan Para.Sig etc. in July.All family members etc.(Original)포괄적으로(대명)은 전국어디든 기본은 하는 곳.객실은 어느정도 시간의 흔적이 있으나 관리는 잘됨디너뷔페는(소노캄.소노문.소노벨등등) 가성비대비 최고7월 부산 파라.시그등등 방문시 보다 만족도가 훨씬모든가족구성원등이~"""
소노캄 거제," ""4"""," ""(Translated by Google) likeI come here often but it's very old.  …Read more(Translated by Google) likeI come here often but it's very old.(Original)좋아요자주오는곳인데  많이 노후되었네요"""
소노캄 거제," ""5"""," ""(Translated by Google) I'm going to make good memories. It was so good. I am always satisfied every time I come. The room condition is good and the walking trail is good.  …Read more(Translated by Google) I'm going to make good memories. It was so good. I am always satisfied every time I come. The room condition is good and the walking trail is good.(Original)좋은 추억 만들고 갑니다. 너무 좋았어요. 항상 올때마다 만족합니다.룸컨디션도 좋고 산책로도 좋아요"""
소노캄 거제," ""2"""," ""(Translated by Google) The staff are friendly but there are too many mistakes in the service information and there are too many things that you have to do yourself even though it is a resort. I don't think I will reuse it.. The cleanliness  …Read more(Translated by Google) The staff are friendly but there are too many mistakes in the service information and there are too many things that you have to do yourself even though it is a resort. I don't think I will reuse it.. The cleanliness of the bathroom was not good(Original)직원들 친절은 한데 서비스 안내 내용에 실수가 넘 많고 리조트임에도 셀프로 하라는 것들이 너무 많네요. 재이용은 안 할 듯..욕실 청결도 별로였습니다"""
소노캄 거제," ""4"""," ""(Translated by Google) A resort with the best view of the southeast coast of Geoje. All rooms have ocean views and Jisepo Port which has a ferry to Oedo is within 5 minutes by car. There is also a water play facility so it is good for a  …Read more(Translated by Google) A resort with the best view of the southeast coast of Geoje. All rooms have ocean views and Jisepo Port which has a ferry to Oedo is within 5 minutes by car. There is also a water play facility so it is good for a family trip.(Original)거제 동남쪽 해안의 가장 좋은 뷰를 가진 리조트. 전실 오션뷰에 외도까지 가는 배편이 있는 지세포항이 차로 5분 이내 거리. 물놀이 시설도 있어서 가족여행하기 좋습니다."""
소노캄 거제," ""5"""," ""(Translated by Google) The view is good and the beach promenade is also good.(Original)전망도 좋고 바닷가 산책길도 좋네."""
소노캄 거제," ""4"""," ""(Translated by Google) We were a family of 5 so we stayed in a suite. The view was very good and the Ocean Adventure was also good. Also Starbucks Baskin Robbins and restaurants were well established inside Sono Calm so the auxiliary  …Read more(Translated by Google) We were a family of 5 so we stayed in a suite. The view was very good and the Ocean Adventure was also good. Also Starbucks Baskin Robbins and restaurants were well established inside Sono Calm so the auxiliary facilities were good. However it is a 2 room and there is only air conditioning in the living room so it was inconvenient because the air conditioner could not be turned on when the door was closed.(Original)5인 가족이라 스위트룸에 있었습니다. 뷰  너무 좋고 오션어드벤처도  좋았습니다. 그리고 소노캄 내부에 스타벅스와 베스킨라빈스 레스토랑 등 잘되어 있어서 부대시설도 괜찮았어요. 단 2룸인데 거실에만 에어컨 있어서 방문 닫으면 에어컨을 쐴 수 없어서 그 부분은 불편했고 스위트룸은 취사시설.도구 등이 없어서 그 부분은 불편했어요."""
소노캄 거제," ""5"""," ""(Translated by Google) It is a good place to enjoy a vacation while looking at the sea ᆢThere is an outdoor barbecue place so you can buy meat and grill it on the spot. Rice and soup are free and you can buy all drinks and ingredients  …Read more(Translated by Google) It is a good place to enjoy a vacation while looking at the sea ᆢThere is an outdoor barbecue place so you can buy meat and grill it on the spot. Rice and soup are free and you can buy all drinks and ingredients right away. We recommend that you make a reservation in advance on weekends. In addition there is a deck walkway connected to the accommodation by the sea road and there are many restaurants right next to Jisho so it is perfect for enjoying only near the accommodation. You can also purchase accommodations at a low price including breakfast if you purchase them from a price comparison site.(Original)바다를 보면서 호캉스 즐기기 좋은곳입니다ᆢ야외 바베큐장소가 있어서 고기를 직접사서 즉석에서 구워먹을수있고 밥과 국은 무료이며 모든 음료와 식재료를 바로구입해서 먹을수있는곳 강추합니다.주말은 예약을 미리하셔야됩니다.또한 바닷길로 숙소와 연결된 데크산책로가 있고 지세포가 바로 옆이라 맛집도 많이 있어서 숙소 근처에서만 즐기고 오기에도 딱입니다.숙소도 가격비교사이트에서 구입하시면 조식포함 저렴하게 구입이 가능합니다"""
소노캄 거제," ""1"""," ""(Translated by Google) After the trip I arrived 30 minutes later than the check-in time and the moment I entered the room to take a good rest it felt like I was entering a pig's cage because there was no cleaning at all. They said they  …Read more(Translated by Google) After the trip I arrived 30 minutes later than the check-in time and the moment I entered the room to take a good rest it felt like I was entering a pig's cage because there was no cleaning at all. They said they would upgrade me to a suite but I'm already tired from the journey and I've been waiting for another 30 minutes and sitting in the hallway so it's hard to feel like I've been caught.(Original)여행 후 체크인 시간보다 30분늦게 도착해서 기분좋게 바로 쉬려고 방에 들어가는 순간 청소가 하나도 안돼있는 상태여서 돼지우리 들어가는 느낌이었습니다. 스위트룸으로 업그레이드 해주신다고 했지만 이미 여정에 지친 상태에서 30분이나 더 기다리고 복도에 앉아있었어서 잡쳐버린 기분이 쉽게 풀리진 않네요."""
소노캄 거제," ""4"""," ""(Translated by Google) It is 25 pyeong with two rooms and two bathrooms. The view was good neat and comfortable. It was inconvenient to not be able to cook indoors but I think I will adapt well. The evening view is also very beautiful.  …Read more(Translated by Google) It is 25 pyeong with two rooms and two bathrooms. The view was good neat and comfortable. It was inconvenient to not be able to cook indoors but I think I will adapt well. The evening view is also very beautiful.(Original)25평형으로 방은 두개이고 목욕탕도 두개다 전망이 좋고 깔끔 쾌적했다 단지 실내에서 취사를 못하게 된게 불편했으나 잘 적응할것같다 저녁뷰도 넘 아름답다"""
소노캄 거제," ""4"""," ""(Translated by Google) Gold shift facilities are good.The surrounding facilities and scenery were also good and in particular the breakfast buffet was good enough to not envy a deluxe hotel. Consider the price!  …Read more(Translated by Google) Gold shift facilities are good.The surrounding facilities and scenery were also good and in particular the breakfast buffet was good enough to not envy a deluxe hotel. Consider the price!Try it once in the morning.(Original)골드쉬위트 시설 괜찮습니다.주변 시설 경관도 좋았고 특히 조식 뷔페 특급호텔 부럽지 않을 만큼 괜찮았습니다. 가격 생각하면!아침에 한번 드셔 보세요."""
소노캄 거제," ""4"""," ""(Translated by Google) First visit feelingIt was a pity that the yacht was canceled due to rain.  …Read more(Translated by Google) First visit feelingIt was a pity that the yacht was canceled due to rain.The water park was also very disappointing that the outdoor pool only operates a small lazy river on weekdays (it would have been nice to have an adult lazy river)The staff are friendly and the room condition is not very good but it is well maintained.There is a two-way coastal promenade on the right and left in the center of Sono Calm so it’s good for morning walks (each takes 1 hour round trip)I didn't eat breakfast at home so I passed.I ate dinner on the last day and it was nice to enjoy the food in a quiet atmosphere without being crowded.It was above average for my taste.I have a plan to revisit ^^(Original)첫 방문 소감요~비가 와서 요트 취소되어 아쉬웠음워터파크도 평일 야외 수영장은 작은 유수풀만 운영해서  정말 많이 아쉬웠음(성인 유수풀이라도 하면 좋았을텐데ㅜㅜ)직원분들 친절하시고 룸컨디션 엄청 좋은건 아니지만 관리는 잘되어 있어요소노캄 중심으로 오른쪽 왼쪽 양방향 해안 산책로가 있어서 아침 산책하기 좋아요 (양방향 각각 왕복 1시간 소요)조식은 집에서도 잘 먹지 않아서 패스했구요마직막날 석식 먹었는데 복잡하지 않고 조용하게 분위기 느끼며 음식 즐기기 좋았고제입맛엔 평타 이상이었어요재방문 의사있어요^^"""
소노캄 거제," ""5"""," ""(Translated by Google) The bed mattress was very comfortableThe amenities are good.I like to play in the water with my children so it is convenient to travel with  …Read more(Translated by Google) The bed mattress was very comfortableThe amenities are good.I like to play in the water with my children so it is convenient to travel with my family.(Original)침대 매트리스가 무척편했고편의시설이 잘 되어있다.아이들과 물놀이 하기가 좋아서 가족동반 여행하는게 편리하다."""
소노캄 거제," ""5"""," ""(Translated by Google) The facilities are clean and good the scenery is good but there is no soju glass in the room. must be prepared separately  …Read more(Translated by Google) The facilities are clean and good the scenery is good but there is no soju glass in the room. must be prepared separately(Original)시설도 깔끔하고 좋음 풍광도 좋고 다만 객실 내 소주잔이 없는 것은 흠임. 따로 준비해야함"""
소노캄 거제," ""5"""," ""(Translated by Google) I really like the clean facilities and the European-style image. Noblian restaurant is the best  …Read more(Translated by Google) I really like the clean facilities and the European-style image. Noblian restaurant is the best(Original)깨끗한부대시설과 유럽풍 이미지가 마음에 쏙 든다. 노블리안레스토랑  최고"""
소노캄 거제," ""1"""," ""(Translated by Google) I made a reservation for Suite Green and the check-in starts at 3 o'clock but I arrived at 4 o'clock. But all the rooms went out so there was only one bed room and there was only one room. Last year when I came  …Read more(Translated by Google) I made a reservation for Suite Green and the check-in starts at 3 o'clock but I arrived at 4 o'clock. But all the rooms went out so there was only one bed room and there was only one room. Last year when I came with my parents I said the same thing and then I said the same thing. Everyone prefers a bed room but I have to change the type. To match the reporting type? What kind of room condition is this? And there is no towel for the shower so when I inquire they only provide face towels. Also I made a reservation for 2 nights but cleaning etc. is not provided during the stay due to the rules of Daemyung Resort Geoje. This is the first time for an accommodation like this.(Original)스위트 그린 예약하고 입실시작이 3시부터인데 4시에 도착했습니다 그런데 방이 모두 나가서 침대방은 한개뿐이고 한실 뿐이랍니다 작년에 부모님 모시고 왔을때도 똑같은 소릴하더니 또 같은소립니다 모두 침대방을 선호하는데 타입을 바꾸던가 해야지 무조건 손님보고 타입에 맞추라고요? 무슨 방 컨디션이 이모양입니까 그리고 샤워용 타월이 없어 문의하니 페이스타올만 기본으로 준다는군요 추가로 요구하면 장당 500원의 금액이발생한답니다 하룻밤 사용 요금이 25만원정도인데 수건 네장외엔 추가요금을 달라니요  또한  2박으로 예약했는데 청소등은 대명리조트  거제의 규정상 투숙기간동안 안해준답니다 이런 숙박시설은 처음입니다 ㅋ"""
소노캄 거제," ""4"""," ""(Translated by Google) It's a nice resort.I stayed on the 21st floor which is self-catering.The view out the window is amazing  …Read more(Translated by Google) It's a nice resort.I stayed on the 21st floor which is self-catering.The view out the window is amazing(Original)멋진 리조트네요.저는 취사 가능한 21층에 머물렀는데요창밖에 뷰만봐도 끝내줍니다"""
소노캄 거제," ""3"""," ""(Translated by Google) Only this photo spot is beautiful(Original)딱 요사진장소만이쁘다"""
소노캄 거제," ""5"""," ""(Translated by Google) All rooms have ocean views and have a water park making it a great place for a family getaway. There are also well-established promenades along the coast so take a stroll through the yacht dock. However it would be  …Read more(Translated by Google) All rooms have ocean views and have a water park making it a great place for a family getaway. There are also well-established promenades along the coast so take a stroll through the yacht dock. However it would be even more satisfying if amusement facilities such as table tennis and billiards were added.(Original)모든 룸이 오션뷰이고 워터파크가 있어 가족 휴양지로 매우 좋네요. 해안가를 따라 거닐 수 있는 산책로도 잘 되어있으니 요트 선착장을 통해 꼬옥 거닐어 보세요. 다만 탁구나 당구 등의 놀이 시설도 추가되면 더욱 더 만족스러운 곳이겠어요."""
소노캄 거제," ""4"""," ""(Translated by Google) What I definitely remember is the intensity of the wave pool.It was a really fun and enjoyable time.  …Read more(Translated by Google) What I definitely remember is the intensity of the wave pool.It was a really fun and enjoyable time.There are a lot of restaurants around so it's okay to pack up and go.(Original)확실히 기억이 나는건 파도풀의 강렬함.정말 재밌고 즐거운 시간이었음.주위 식당 많으니까 바리바리 안 싸들고 가도 됌."""
소노캄 거제," ""5"""," ""(Translated by Google) Very good~ It's great to go on a trip with family or friends take a good rest eat delicious food and take a walk in the condo  …Read more(Translated by Google) Very good~ It's great to go on a trip with family or friends take a good rest eat delicious food and take a walk in the condo(Original)아주 좋아요~가족이나 친구들과 여행와서 푹~쉬었다가 맛있는것도 먹고 콘도 안에서 산책하기도 아주 좋아요"""
소노캄 거제," ""4"""," ""(Translated by Google) It is clean and has enough cooking utensils to eat snacks.  …Read more(Translated by Google) It is clean and has enough cooking utensils to eat snacks.(Original)깨끗하고 간식을 먹을수 있을정도의 취사도구는 준비되여 있네요"""
소노캄 거제," ""5"""," ""(Translated by Google) Satisfied with the best view and room condition(Original)경치최고 방컨디션도 만족"""
소노캄 거제," ""3"""," ""(Translated by Google) Service is messed up Is this a hotel? Let's train the staff.  …Read more(Translated by Google) Service is messed up Is this a hotel? Let's train the staff.(Original)써비스 엉망   여기가 호텔인가?  직원들교육좀 시키지 쯧쯧"""
소노캄 거제," ""2"""," ""(Translated by Google) Bugs crawling on the veranda and living room.Stayed for 2 nights and got 2I am posting this with the hope that quarantine and disinfection will be more  …Read more(Translated by Google) Bugs crawling on the veranda and living room.Stayed for 2 nights and got 2I am posting this with the hope that quarantine and disinfection will be more thorough.What kind of high season is the price so please pay that much attention~(Original)베란다랑 거실에 벌레가 기어다녀서 찜찜~~2박을 했는데 2마리 잡았어요방역및소독이 더 철저히 되길 바라는 마음으로 이글을 올립니다.무슨 성수기라고 요금은 겁나 비싸던데 그만큼 신경을 써주길~"""
